Rank,Last Year Rank,University,Teaching quality (%),Student experience (%),Research quality (%),Entry standards (Ucas pts),Graduate prospects (%),Firsts/2:1s (%),Completion rate (%),Student-staff ratio,Services/ facilities spend (pounds),Total
111,117,Kingston University,76.1,79.9,5.1,299,60.7,67.4,82.2,19.3,1637,418
112,102,Bishop Grosseteste University,80.9,80.6,2.1,284,69.1,60.4,90,28.6,743,412
112,114,University of South Wales,77.5,78.3,4,322,59,63.6,81.7,19.6,1425,412
114,111,Leeds Beckett University,78.5,82.7,4.1,288,58.5,61.8,78.8,20.7,1341,408
115,104,"Newman University, Birmingham",83.1,84.6,2.8,293,54.6,56,73.3,18.9,1458,401
115,115,Southampton Solent University,79.5,82.1,0.5,276,54.6,60.2,76.8,18.3,1480,401
115,112,University of Westminster,72.9,80.6,9.8,311,55.1,68.8,80.4,19.9,1491,401
118,118,University of the West of Scotland,81.8,81.8,4.3,305,65.7,63.2,70,21.1,1291,395
119,95,University of Cumbria,76.9,77.6,1.2,299,64.9,64.7,85.7,22.3,1093,392
120,122,London South Bank University,77,81.3,9,248,67.9,61,74.6,17.2,1523,386
121,109,University of West London,76.9,77.5,1.6,259,60.5,58.8,73.9,17.3,2214,385
122,113,Glyndwr University,80.5,79.3,2.3,257,66.3,53.6,75.8,23.3,1757,374
123,120,University of Bolton,81.6,80.8,2.9,287,60.1,54.9,71.2,17.9,959,370
123,102,"University of St Mark & St John, Plymouth",76.3,77.3,n/a,319,60.4,58.8,82.6,21.2,1250,370
125,123,London Metropolitan University,76,78.6,3.5,239,47.7,55.1,75.3,19.6,1000,287
126,121,University of the Highlands and Islands,78.8,76.5,n/a,272,56,57.9,68.6,n/a,558,276
127,119,University of East London,75,78.5,7.2,281,45.6,53.9,67.5,23.6,1636,269
